1,"(201.0, 197.0, 199.0)","[(0.5207937, (201.0, 197.0, 199.0)), (0.09134921, (47.0, 49.0, 60.0)), (0.14992063, (118.0, 116.0, 122.0)), (0.059761904, (164.0, 163.0, 171.0)), (0.09015873, (86.0, 86.0, 94.0))]"
2,"(193.0, 189.0, 190.0)","[(0.42753968, (193.0, 189.0, 190.0)), (0.09714286, (46.0, 47.0, 55.0)), (0.117142856, (159.0, 158.0, 164.0)), (0.09222222, (113.0, 112.0, 117.0)), (0.1320635, (91.0, 91.0, 96.0))]"
3,"(14.0, 16.0, 5.0)","[(0.65380955, (14.0, 16.0, 5.0)), (0.19293651, (27.0, 30.0, 10.0)), (0.10579365, (42.0, 46.0, 22.0)), (0.020952381, (44.0, 51.0, 16.0)), (0.015714286, (48.0, 47.0, 38.0))]"
4,"(153.0, 164.0, 105.0)","[(0.057698414, (153.0, 164.0, 105.0)), (0.2252381, (82.0, 84.0, 57.0)), (0.01, (179.0, 190.0, 129.0)), (0.053174604, (117.0, 128.0, 73.0)), (0.063174605, (152.0, 161.0, 115.0))]"
5,"(247.0, 246.0, 247.0)","[(0.3531746, (247.0, 246.0, 247.0)), (0.13928571, (52.0, 51.0, 45.0)), (0.008888889, (139.0, 152.0, 171.0)), (0.054682538, (198.0, 198.0, 200.0)), (0.11587302, (84.0, 82.0, 78.0))]"
6,"(188.0, 183.0, 186.0)","[(0.46730158, (188.0, 183.0, 186.0)), (0.0668254, (41.0, 41.0, 49.0)), (0.24119048, (170.0, 164.0, 167.0)), (0.08103175, (33.0, 33.0, 39.0)), (0.11492064, (93.0, 91.0, 97.0))]"
7,"(165.0, 160.0, 163.0)","[(0.43134922, (165.0, 160.0, 163.0)), (0.06412698, (40.0, 41.0, 50.0)), (0.23174603, (30.0, 32.0, 40.0)), (0.10468254, (88.0, 85.0, 89.0)), (0.14119047, (180.0, 177.0, 180.0))]"
8,"(188.0, 183.0, 186.0)","[(0.32182539, (188.0, 183.0, 186.0)), (0.06404762, (39.0, 41.0, 50.0)), (0.31190476, (169.0, 164.0, 168.0)), (0.14984126, (31.0, 32.0, 38.0)), (0.116904765, (90.0, 89.0, 93.0))]"
9,"(152.0, 147.0, 152.0)","[(0.062063493, (152.0, 147.0, 152.0)), (0.15142857, (56.0, 55.0, 65.0)), (0.012222222, (76.0, 77.0, 96.0)), (0.31, (202.0, 200.0, 204.0)), (0.08309524, (134.0, 127.0, 133.0))]"
10,"(160.0, 156.0, 159.0)","[(0.38047618, (160.0, 156.0, 159.0)), (0.05031746, (126.0, 124.0, 131.0)), (0.28460318, (186.0, 181.0, 183.0)), (0.10539682, (91.0, 88.0, 95.0)), (0.05269841, (56.0, 56.0, 65.0))]"
11,"(195.0, 190.0, 193.0)","[(0.4579365, (195.0, 190.0, 193.0)), (0.03888889, (83.0, 85.0, 94.0)), (0.062063493, (162.0, 159.0, 163.0)), (0.05063492, (117.0, 116.0, 123.0)), (0.035079364, (54.0, 54.0, 56.0))]"
12,"(51.0, 46.0, 42.0)","[(0.33142856, (51.0, 46.0, 42.0)), (0.07190476, (198.0, 199.0, 208.0)), (0.01468254, (117.0, 126.0, 145.0)), (0.13873015, (221.0, 220.0, 226.0)), (0.015396825, (119.0, 120.0, 130.0))]"
13,"(165.0, 159.0, 164.0)","[(0.0734127, (165.0, 159.0, 164.0)), (0.02674603, (121.0, 120.0, 128.0)), (0.09119048, (194.0, 190.0, 195.0)), (0.27484128, (225.0, 222.0, 224.0)), (0.007222222, (119.0, 125.0, 143.0))]"
14,"(187.0, 181.0, 184.0)","[(0.3881746, (187.0, 181.0, 184.0)), (0.16753969, (162.0, 159.0, 163.0)), (0.057142857, (119.0, 116.0, 122.0)), (0.0686508, (86.0, 85.0, 93.0)), (0.04301587, (56.0, 55.0, 63.0))]"
15,"(184.0, 179.0, 183.0)","[(0.3311111, (184.0, 179.0, 183.0)), (0.010238095, (74.0, 81.0, 99.0)), (0.3440476, (172.0, 168.0, 172.0)), (0.054047618, (126.0, 125.0, 135.0)), (0.06460317, (80.0, 83.0, 93.0))]"
16,"(16.0, 16.0, 6.0)","[(0.9071429, (16.0, 16.0, 6.0)), (0.0123015875, (27.0, 29.0, 11.0)), (0.044444446, (48.0, 45.0, 38.0)), (0.009761904, (84.0, 80.0, 76.0)), (0.0027777778, (38.0, 39.0, 25.0))]"
17,"(205.0, 202.0, 203.0)","[(0.5592857, (205.0, 202.0, 203.0)), (0.08079365, (125.0, 124.0, 131.0)), (0.049285714, (161.0, 161.0, 168.0)), (0.011587301, (106.0, 112.0, 131.0)), (0.011904762, (80.0, 84.0, 102.0))]"
18,"(196.0, 191.0, 193.0)","[(0.4170635, (196.0, 191.0, 193.0)), (0.073015876, (43.0, 44.0, 53.0)), (0.085873015, (112.0, 109.0, 115.0)), (0.08777778, (94.0, 91.0, 97.0)), (0.17198412, (32.0, 31.0, 34.0))]"
19,"(196.0, 191.0, 193.0)","[(0.5384127, (196.0, 191.0, 193.0)), (0.07706349, (123.0, 116.0, 119.0)), (0.057142857, (88.0, 86.0, 94.0)), (0.08095238, (155.0, 151.0, 155.0)), (0.067539684, (59.0, 56.0, 60.0))]"
